MESSIER_NAME,RA,DEC
M1,83.63308333,22.0145
M2,323.36258333,-0.82325
M3,205.54841667,28.37727778
M4,245.89675,-26.52575
M5,229.63841667,2.08102778
M6,265.08333333,-32.25333333
M7,268.4625,-34.79333333
M8,270.90416667,-24.38666667
M9,259.79908333,-18.51625
M10,254.28770833,-4.10030556
M11,282.77083333,-6.27
M12,251.80908333,-1.94852778
M13,250.423475,36.46131944
M14,264.400625,-3.24591667
M15,322.49304167,12.167
M16,274.7,-13.80666667
M17,275.19583333,-16.17166667
M18,274.99166667,-17.10166667
M19,255.65704167,-26.26794444
M20,270.675,-22.97166667
M21,271.05416667,-22.49
M22,279.09975,-23.90475
M23,269.26666667,-18.985
M24,274.2,-18.55
M25,277.94583333,-19.11666667
M26,281.325,-9.38333333
M27,299.90151337,22.72119788
M28,276.13704167,-24.86983333
M29,305.98333333,38.52333333
M30,325.09216667,-23.17986111
M31,10.68470833,41.26875
M32,10.67427083,40.86516944
M33,23.4621,30.65994167
M34,40.52083333,42.76166667
M35,92.225,24.33333333
M36,84.075,34.14
M37,88.075,32.55333333
M38,82.17916667,35.855
M39,322.95,48.43333333
M40,185.55,58.08333333
M41,101.50416667,-20.75666667
M42,83.82208333,-5.39111111
M43,83.87916667,-5.27
M44,130.1,19.66666667
M45,56.75,24.11666667
M46,115.44166667,-14.81
M47,114.14583333,-14.48333333
M48,123.42916667,-5.75
M49,187.44499167,8.00041111
M50,105.69791667,-8.33777778
M51,202.469575,47.19525833
M52,351.2,61.59333333
M53,198.23020833,18.16816667
M54,283.763875,-30.47986111
M55,294.99879167,-30.96475
M56,289.14820833,30.18347222
M57,283.39623732,33.02913421
M58,189.43165417,11.81808889
M59,190.509675,11.64693056
M60,190.9167,11.55261111
M61,185.47886465,4.47377454
M62,255.3025,-30.11236111
M63,198.95530772,42.02936836
M64,194.18206667,21.68265833
M65,169.73315417,13.09221111
M66,170.06260833,12.99128889
M67,132.825,11.8
M68,189.86658333,-26.74405556
M69,277.84625,-32.34808333
M70,280.80316667,-32.29211111
M71,298.44370833,18.77919444
M72,313.36541667,-12.53730556
M73,314.75,-12.63333333
M74,24.17405,15.78346111
M75,301.52017083,-21.92226111
M76,25.58191863,51.57543143
M77,40.66987917,-0.01328889
M78,86.69083333,0.07916667
M79,81.044125,-24.52425
M80,244.26004167,-22.97608333
M81,148.88822109,69.0652947
M82,148.96845833,69.67970278
M83,204.25382917,-29.86576111
M84,186.26559721,12.88698314
M85,186.35022083,18.19108056
M86,186.549225,12.94596944
M87,187.70593076,12.39112329
M88,187.99673333,14.42041111
M89,188.91586393,12.55634189
M90,189.20756667,13.16286944
M91,188.860125,14.49631944
M92,259.28079167,43.13594444
M93,116.125,-23.85666667
M94,192.72145,41.12015278
M95,160.99038221,11.70378539
M96,161.6906,11.81993889
M97,168.69880209,55.0190237
M98,183.45121667,14.90046944
M99,184.70677083,14.41648889
M100,185.72888285,15.82230397
M101,210.80242917,54.34875
M102,226.62317083,55.76330833
M103,23.34583333,60.65
M104,189.99763271,-11.62305428
M105,161.95666667,12.58163056
M106,184.74008333,47.30371944
M107,248.13275,-13.05377778
M108,167.87902917,55.67412222
M109,179.39993333,53.37451944
M110,10.09189356,41.68541564
